排名,arXiv ID,决策,标题,摘要,推理
1,2602.17641,NO,FAMOSE: A ReAct Approach to Automated Feature Discovery,"Feature engineering remains a critical yet challenging bottleneck in machine learning, particularly for tabular data, as identifying optimal features from an exponentially large feature space traditio...",
2,2602.17607,NO,"AutoNumerics: An Autonomous, PDE-Agnostic Multi-Agent Pipeline for Scientific Computing","PDEs are central to scientific and engineering modeling, yet designing accurate numerical solvers typically requires substantial mathematical expertise and manual tuning. Recent neural network-based a...",
3,2602.17547,NO,KLong: Training LLM Agent for Extremely Long-horizon Tasks,"This paper introduces KLong, an open-source LLM agent trained to solve extremely long-horizon tasks. The principle is to first cold-start the model via trajectory-splitting SFT, then scale it via prog...",
4,2602.17544,NO,Evaluating Chain-of-Thought Reasoning through Reusability and Verifiability,"In multi-agent IR pipelines for tasks such as search and ranking, LLM-based agents exchange intermediate reasoning in terms of Chain-of-Thought (CoT) with each other. Current CoT evaluation narrowly f...",
5,2602.17308,YES,MedClarify: An information-seeking AI agent for medical diagnosis,"Large language models (LLMs) are increasingly used for diagnostic tasks in medicine. In clinical practice, the correct diagnosis can rarely be immediately inferred from the initial patient presentatio...",
6,2602.17271,NO,Federated Latent Space Alignment for Multi-user Semantic Communications,"Semantic communication aims to convey meaning for effective task execution, but differing latent representations in AI-native devices can cause semantic mismatches that hinder mutual understanding. Th...",
7,2602.17221,NO,From Labor to Collaboration: AI Agents to Augment Research Perspectives,"Generative AI is reshaping knowledge work, yet existing research focuses predominantly on software engineering and the natural sciences, with limited methodological exploration for the humanities and ...",
8,2602.17062,NO,Retaining Suboptimal Actions in Multi-Agent Reinforcement Learning,"Value decomposition is a core approach for cooperative multi-agent reinforcement learning (MARL). However, existing methods still rely on a single optimal action and struggle to adapt when the underly...",
9,2602.17049,NO,IntentCUA: Multi-Agent Planning in Computer-Use Agents,"Computer-use agents operate over long horizons under noisy perception, multi-window contexts, evolving environment states. Existing approaches, from RL-based planners to trajectory retrieval, often dr...",
10,2602.17038,YES,Phase-Aware Mixture of Experts for Agentic Reinforcement Learning,"Reinforcement learning (RL) has equipped LLM agents with a strong ability to solve complex tasks. However, existing RL methods normally use a \emph{single} policy network, causing \emph{simplicity bia...",
11,2602.17027,NO,Transforming Behavioral Neuroscience Discovery with AI-Enhanced Tensor Methods,"Scientific discovery pipelines typically involve complex, rigid, and time-consuming processes, from data preparation to analyzing and interpreting findings. Recent advances in AI have the potential to...",
12,2602.16966,NO,A Unified Framework for Locality in Scalable MARL,"Scalable Multi-Agent Reinforcement Learning (MARL) is fundamentally challenged by the curse of dimensionality. A common solution is to exploit locality, which hinges on an Exponential Decay Property (...",
