rank,arxiv_id,title,embedding_sim,embedding_pass,skill_decision,skill_confidence,skill_reasoning
,2602.17641,FAMOSE: A ReAct Approach to Automated Feature Discovery,0.4392,False,NO,,
,2602.17607,AutoNumerics: An Autonomous， PDE-Agnostic Multi-Agent Pipeline for Scientific Computing,0.5567,True,NO,,
,2602.17547,KLong: Training LLM Agent for Extremely Long-horizon Tasks,0.4791,False,NO,,
,2602.17544,Evaluating Chain-of-Thought Reasoning through Reusability and Verifiability,0.4156,False,NO,,
,2602.17308,MedClarify: An information-seeking AI agent for medical diagnosis with case-specific follow-up questions,0.4408,False,NO,,
,2602.17271,Federated Latent Space Alignment for Multi-user Semantic Communications,0.3928,False,NO,,
,2602.17221,From Labor to Collaboration: A Methodological Experiment Using AI Agents to Augment Research Perspectives in Taiwan's Humanities and Social Sciences,0.5624,True,ERROR,,list index out of range
,2602.17062,Retaining Suboptimal Actions to Follow Shifting Optima in Multi-Agent Reinforcement Learning,0.4192,False,NO,,
,2602.17049,IntentCUA: Learning Intent-level Representations for Skill Abstraction and Multi-Agent Planning in Computer-Use Agents,0.5099,True,NO,,
,2602.17038,Phase-Aware Mixture of Experts for Agentic Reinforcement Learning,0.5011,True,NO,,
,2602.17027,Transforming Behavioral Neuroscience Discovery with In-Context Learning and AI-Enhanced Tensor Methods,0.4940,False,NO,,
,2602.16966,A Unified Framework for Locality in Scalable MARL,0.4347,False,NO,,
,2602.16958,Automating Agent Hijacking via Structural Template Injection,0.4211,False,NO,,
,2602.16953,LLM4Cov: Execution-Aware Agentic Learning for High-coverage Testbench Generation,0.4892,False,NO,,
,2602.16947,Beyond Message Passing: A Symbolic Alternative for Expressive and Interpretable Graph Learning,0.4281,False,NO,,
,2602.16943,Mind the GAP: Text Safety Does Not Transfer to Tool-Call Safety in LLM Agents,0.4150,False,NO,,
,2602.16928,Discovering Multiagent Learning Algorithms with Large Language Models,0.4701,False,NO,,
,2602.16901,AgentLAB: Benchmarking LLM Agents against Long-Horizon Attacks,0.5108,True,NO,,
,2602.16873,AdaptOrch: Task-Adaptive Multi-Agent Orchestration in the Era of LLM Performance Convergence,0.4980,False,NO,,
,2602.16708,Policy Compiler for Secure Agentic Systems,0.5353,True,NO,,
,2602.16699,Calibrate-Then-Act: Cost-Aware Exploration in LLM Agents,0.4843,False,NO,,
,2602.16666,Towards a Science of AI Agent Reliability,0.5451,True,NO,,
,2602.16585,DataJoint 2.0: A Computational Substrate for Agentic Scientific Workflows,0.4812,False,NO,,
,2602.16485,Team of Thoughts: Efficient Test-time Scaling of Agentic Systems through Orchestrated Tool Calling,0.4774,False,NO,,
,2602.16435,Causally-Guided Automated Feature Engineering with Multi-Agent Reinforcement Learning,0.4917,False,NO,,
,2602.16301,Multi-agent cooperation through in-context co-player inference,0.4743,False,YES,,
,2602.16246,Toward Scalable Verifiable Reward: Proxy State-Based Evaluation for Multi-turn Tool-Calling LLM Agents,0.4690,False,NO,,
,2602.17127,The Emergence of Lab-Driven Alignment Signatures: A Psychometric Framework for Auditing Latent Bias and Compounding Risk in Generative AI,0.5408,True,NO,,
,2602.16379,Label-Consistent Data Generation for Aspect-Based Sentiment Analysis Using LLM Agents,0.4350,False,NO,,
,2602.16346,Helpful to a Fault: Measuring Illicit Assistance in Multi-Turn， Multilingual LLM Agents,0.4431,False,NO,,
,2602.16173,Learning Personalized Agents from Human Feedback,0.4800,False,NO,,
,2602.17486,Linear Convergence in Games with Delayed Feedback via Extra Prediction,0.4293,False,NO,,
,2602.17068,Spatio-temporal dual-stage hypergraph MARL for human-centric multimodal corridor traffic signal control,0.3896,False,NO,,
,2602.17009,Action-Graph Policies: Learning Action Co-dependencies in Multi-Agent Reinforcement Learning,0.4889,False,NO,,
,2602.16965,Multi-Agent Lipschitz Bandits,0.4657,False,NO,,
,2602.16564,A Scalable Approach to Solving Simulation-Based Network Security Games,0.4071,False,NO,,
